instituicao_responsavel_original,instituicao_responsavel_normalizada,instituicoes_apoio_originais,instituicoes_apoio_normalizadas,arquivo_origem,id_documento_logico
Fundação Dom Cabral,Fundação Dom Cabral,"[""GO Associados""]","[""GO Associados""]",101.pdf,doc_f08f07e5cd2e2b79
Fundação Dom Cabral,Fundação Dom Cabral,[],[],102.pdf,doc_29eec8cb7458c0ed
Grupo de Pesquisa e Estudos Prospectivos (NEP-UCB) da Universidade Católica de Brasília,Grupo de Pesquisa e Estudos Prospectivos (NEP-UCB) da Universidade Católica de Brasília,[],[],103.pdf,doc_28835709fa751d8b
"Secretaria de Planejamento, Governança e Gestão do Rio Grande do Sul","Secretaria de Planejamento, Governança e Gestão do Rio Grande do Sul",[],[],104.pdf,doc_7282532e36c67ef7
Ministério do Meio Ambiente e Mudança do Clima,Ministério do Meio Ambiente e Mudança do Clima,"[""Global Environment Facility (GEF)"", ""Programa das Nações Unidas para o Desenvolvimento (PNUD)"", ""Ministério Federal Alemão da Cooperação Econômica e do Desenvolvimento (BMZ)"", ""Agência Norueguesa de Ajuda ao Desenvolvimento (NORAD)"", ""Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)""]","[""Global Environment Facility (GEF)"", ""Programa das Nações Unidas para o Desenvolvimento (PNUD)"", ""Ministério Federal Alemão da Cooperação Econômica e do Desenvolvimento (BMZ)"", ""Agência Norueguesa de Ajuda ao Desenvolvimento (NORAD)"", ""Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)""]",105.pdf,doc_becc99e6695d77c6
Empresa Brasileira de Pesquisa Agropecuária (Embrapa),Empresa Brasileira de Pesquisa Agropecuária (Embrapa),[],[],106.pdf,doc_87ca1b686c49b2d4
Associação Brasileira de Bioinovação (ABBI),Associação Brasileira de Bioinovação (ABBI),"[""Biotrop"", ""Braskem"", ""CENERGIA/COPPE/UFRJ"", ""DSM Firmenich"", ""Embrapa"", ""IST Alimentos"", ""ISI Biomassa"", ""ISI Biossintéticos e Fibras"", ""Novonesis"", ""Raízen"", ""Instituto SENAI de Inovação em Biossintéticos e Fibras"", ""Instituto SENAI de Inovação em Biomassa"", ""Instituto SENAI de Tecnologia em Alimentos e Bebidas"", ""Embrapa Agroenergia""]","[""Biotrop"", ""Braskem"", ""CENERGIA/COPPE/UFRJ"", ""DSM Firmenich"", ""Embrapa"", ""IST Alimentos"", ""ISI Biomassa"", ""ISI Biossintéticos e Fibras"", ""Novonesis"", ""Raízen"", ""Instituto SENAI de Inovação em Biossintéticos e Fibras"", ""Instituto SENAI de Inovação em Biomassa"", ""Instituto SENAI de Tecnologia em Alimentos e Bebidas"", ""Embrapa Agroenergia""]",107.pdf,doc_51a69bae251c4d81
Plataforma de Infraestrutura em Logística de Transportes - PILT,Plataforma de Infraestrutura em Logística de Transportes - PILT,"[""Fundação Dom Cabral (FDC)""]","[""Fundação Dom Cabral (FDC)""]",108.pdf,doc_24c126028c12f8d8
Governo do Estado da Paraíba,Governo do Estado da Paraíba,[],[],109.pdf,doc_8a1f437f49387a60
Comitê Interministerial sobre Mudança do Clima,Comitê Interministerial sobre Mudança do Clima,"[""Casa Civil da Presidência da República"", ""Secretaria de Assuntos Estratégicos da Presidência da República"", ""Ministério da Agricultura, Pecuária e Abastecimento"", ""Ministério da Ciência e Tecnologia"", ""Ministério da Defesa"", ""Ministério da Educação"", ""Ministério da Fazenda"", ""Ministério da Integração Nacional"", ""Ministério da Saúde"", ""Ministério das Cidades"", ""Ministério das Relações Exteriores"", ""Ministério de Minas e Energia"", ""Ministério do Desenvolvimento Agrário"", ""Ministério do Desenvolvimento, Indústria e Comércio Exterior"", ""Ministério do Meio Ambiente"", ""Ministério do Planejamento, Orçamento e Gestão"", ""Ministério dos Transportes"", ""Fórum Brasileiro de Mudanças Climáticas"", ""Comissão Interministerial de Mudança Global do Clima"", ""III Conferência Nacional do Meio Ambiente"", ""Fóruns Estaduais de Mudanças Climáticas"", ""Organizações da sociedade""]","[""Casa Civil da Presidência da República"", ""Secretaria de Assuntos Estratégicos da Presidência da República"", ""Ministério da Agricultura, Pecuária e Abastecimento"", ""Ministério da Ciência e Tecnologia"", ""Ministério da Defesa"", ""Ministério da Educação"", ""Ministério da Fazenda"", ""Ministério da Integração Nacional"", ""Ministério da Saúde"", ""Ministério das Cidades"", ""Ministério das Relações Exteriores"", ""Ministério de Minas e Energia"", ""Ministério do Desenvolvimento Agrário"", ""Ministério do Desenvolvimento, Indústria e Comércio Exterior"", ""Ministério do Meio Ambiente"", ""Ministério do Planejamento, Orçamento e Gestão"", ""Ministério dos Transportes"", ""Fórum Brasileiro de Mudanças Climáticas"", ""Comissão Interministerial de Mudança Global do Clima"", ""III Conferência Nacional do Meio Ambiente"", ""Fóruns Estaduais de Mudanças Climáticas"", ""Organizações da sociedade""]",110.pdf,doc_3f34d8804e58d74d
Grupo Interministerial de Propriedade Intelectual (GIPI),Grupo Interministerial de Propriedade Intelectual (GIPI),"[""Ministério da Economia"", ""OMPI (Genebra)"", ""ii Intelligence for Innovation Consulting""]","[""Ministério da Economia"", ""OMPI (Genebra)"", ""ii Intelligence for Innovation Consulting""]",111.pdf,doc_c7149c8644dd51ca
Governo de Minas Gerais,Governo de Minas Gerais,"[""Macroplan Prospectiva, Estratégia e Gestão""]","[""Macroplan Prospectiva, Estratégia e Gestão""]",112.pdf,doc_256037f6af1c55cf
Secretaria de Estado de Planejamento e Gestão - SEPLAG/MG,Secretaria de Estado de Planejamento e Gestão - SEPLAG/MG,"[""Conselho de Desenvolvimento Econômico e Social"", ""Macroplan Prospectiva, Estratégia & Gestão"", ""Assembléia Legislativa do Estado de Minas Gerais"", ""Associação Mineira de Municípios"", ""Universidade Estadual de Minas Gerais"", ""Universidade Federal de Minas Gerais"", ""Banco de Desenvolvimento de Minas Gerais"", ""Companhia Energética de Minas Gerais"", ""Fundação João Pinheiro"", ""Fundação Centro Tecnológico de Minas Gerais"", ""Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais"", ""Fundação Estadual do Meio Ambiente"", ""Companhia de Desenvolvimento Econômico de Minas Gerais"", ""Instituto de Desenvolvimento Integrado de Minas Gerais"", ""Fundação de Amparo à Pesquisa do Estado de Minas Gerais"", ""Federação das Indústrias do Estado de Minas Gerais"", ""Federação da Agricultura do Estado de Minas Gerais"", ""Associação Comercial de Minas"", ""Federação das Associações Comerciais, Industriais, Agropecuárias e de Serviços do Estado de Minas Gerais"", ""Centro Industrial e Empresarial de Minas Gerais"", ""Câmara de Dirigentes Lojistas de Belo Horizonte"", ""Federação dos Trabalhadores na Agricultura do Estado de Minas Gerais"", ""Coordenação Intersindical dos Trabalhadores no Serviço Público Estadual de Minas Gerais"", ""Federação das Empresas de Transportes de Carga do Estado de Minas Gerais"", ""Federação das Empresas de Transportes Rodoviários de Passageiros do Estado de Minas Gerais"", ""Organização das Cooperativas do Estado de Minas Gerais"", ""Serviço de Apoio às Micro e Pequenas Empresas de Minas Gerais"", ""Central Única dos Trabalhadores"", ""Social Democracia Sindical – Minas Gerais"", ""Força Sindical"", ""Confederação Geral dos Trabalhadores""]","[""Conselho de Desenvolvimento Econômico e Social"", ""Macroplan Prospectiva, Estratégia & Gestão"", ""Assembléia Legislativa do Estado de Minas Gerais"", ""Associação Mineira de Municípios"", ""Universidade Estadual de Minas Gerais"", ""Universidade Federal de Minas Gerais"", ""Banco de Desenvolvimento de Minas Gerais"", ""Companhia Energética de Minas Gerais"", ""Fundação João Pinheiro"", ""Fundação Centro Tecnológico de Minas Gerais"", ""Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais"", ""Fundação Estadual do Meio Ambiente"", ""Companhia de Desenvolvimento Econômico de Minas Gerais"", ""Instituto de Desenvolvimento Integrado de Minas Gerais"", ""Fundação de Amparo à Pesquisa do Estado de Minas Gerais"", ""Federação das Indústrias do Estado de Minas Gerais"", ""Federação da Agricultura do Estado de Minas Gerais"", ""Associação Comercial de Minas"", ""Federação das Associações Comerciais, Industriais, Agropecuárias e de Serviços do Estado de Minas Gerais"", ""Centro Industrial e Empresarial de Minas Gerais"", ""Câmara de Dirigentes Lojistas de Belo Horizonte"", ""Federação dos Trabalhadores na Agricultura do Estado de Minas Gerais"", ""Coordenação Intersindical dos Trabalhadores no Serviço Público Estadual de Minas Gerais"", ""Federação das Empresas de Transportes de Carga do Estado de Minas Gerais"", ""Federação das Empresas de Transportes Rodoviários de Passageiros do Estado de Minas Gerais"", ""Organização das Cooperativas do Estado de Minas Gerais"", ""Serviço de Apoio às Micro e Pequenas Empresas de Minas Gerais"", ""Central Única dos Trabalhadores"", ""Social Democracia Sindical – Minas Gerais"", ""Força Sindical"", ""Confederação Geral dos Trabalhadores""]",113.pdf,doc_4e41b20aa5c9d75d
Secretaria de Estado de Planejamento e Administração (SEPLAD),Secretaria de Estado de Planejamento e Administração (SEPLAD),"[""Fundação de Amparo e Desenvolvimento da Pesquisa (FADESP)"", ""Universidade Federal do Pará (UFPA)""]","[""Fundação de Amparo e Desenvolvimento da Pesquisa (FADESP)"", ""Universidade Federal do Pará (UFPA)""]",114.pdf,doc_18277649010fa600
Emplasa,Emplasa,[],[],115.pdf,doc_e8130e03db42559a
Empresa Paulista de Planejamento Metropolitano SA (Emplasa),Empresa Paulista de Planejamento Metropolitano SA (Emplasa),"[""Governo do Estado de São Paulo"", ""Secretaria Estadual da Casa Civil"", ""Fundação do Desenvolvimento Administrativo (Fundap)"", ""ONU-Habitat""]","[""Governo do Estado de São Paulo"", ""Secretaria Estadual da Casa Civil"", ""Fundação do Desenvolvimento Administrativo (Fundap)"", ""ONU-Habitat""]",116.pdf,doc_b725695f41463312
Emplasa,Emplasa,"[""Casa Civil"", ""Secretaria de Desenvolvimento Econômico, Ciência e Tecnologia"", ""Centro Paula Souza"", ""Investe SP"", ""Secretaria de Desenvolvimento Metropolitano"", ""AGEM - BS"", ""AGEMCAMP"", ""Secretaria de Energia"", ""CEPG"", ""EMAE"", ""Secretaria de Educação"", ""Secretaria da Fazenda"", ""CPP"", ""Secretaria de Habitação"", ""Casa Paulista"", ""CDHU"", ""Secretaria de Logística e Transportes"", ""DAESP"", ""DER"", ""DERSA"", ""DH/Docas de S. Sebastião"", ""Secretaria de Meio Ambiente"", ""CPLA"", ""Secretaria de Planejamento e Desenvolvimento Regional"", ""CEPAM"", ""SEADE"", ""Secretaria de Saneamento e Recursos Hídricos"", ""Daee"", ""Sabesp"", ""Secretaria de Transportes Metropolitanos"", ""CPTM"", ""EMTU"", ""Metrô""]","[""Casa Civil"", ""Secretaria de Desenvolvimento Econômico, Ciência e Tecnologia"", ""Centro Paula Souza"", ""Investe SP"", ""Secretaria de Desenvolvimento Metropolitano"", ""AGEM - BS"", ""AGEMCAMP"", ""Secretaria de Energia"", ""CEPG"", ""EMAE"", ""Secretaria de Educação"", ""Secretaria da Fazenda"", ""CPP"", ""Secretaria de Habitação"", ""Casa Paulista"", ""CDHU"", ""Secretaria de Logística e Transportes"", ""DAESP"", ""DER"", ""DERSA"", ""DH/Docas de S. Sebastião"", ""Secretaria de Meio Ambiente"", ""CPLA"", ""Secretaria de Planejamento e Desenvolvimento Regional"", ""CEPAM"", ""SEADE"", ""Secretaria de Saneamento e Recursos Hídricos"", ""Daee"", ""Sabesp"", ""Secretaria de Transportes Metropolitanos"", ""CPTM"", ""EMTU"", ""Metrô""]",117.pdf,doc_230d58c428799bb7
Secretaria da Casa Civil,Secretaria da Casa Civil,"[""Programa das Nações Unidas para Assentamentos Humanos (ONU-Habitat)"", ""BNDES"", ""Caixa Econômica Federal"", ""Banco do Brasil"", ""Secretaria da Habitação"", ""Casa Paulista"", ""Companhia de Desenvolvimento Habitacional e Urbano do Estado de São Paulo (CDHU)"", ""Unidade de Gestão do Projeto Serra do Mar"", ""Secretaria de Logística e Transportes"", ""Agência Reguladora de Serviços Públicos Delegados de Transporte do Estado de São Paulo (Artesp)"", ""Dersa – Desenvolvimento Rodoviário S/A"", ""Secretaria do Meio Ambiente"", ""Cetesb – Companhia Ambiental do Estado de São Paulo"", ""Coordenadoria de Planejamento Ambiental"", ""Secretaria de Planejamento e Desenvolvimento Regional"", ""Fundação Prefeito Faria Lima – Centro de Estudos e Pesquisas de Administração Municipal (Cepam)"", ""Fundação Sistema Estadual de Análise de Dados (Seade)"", ""Secretaria de Saneamento e Recursos Hídricos"", ""Departamento de Águas e Energia Elétrica (Daee)"", ""Companhia de Saneamento Básico do Estado de São Paulo (Sabesp)"", ""Secretaria da Segurança Pública"", ""Secretaria dos Transportes Metropolitanos"", ""Companhia Paulista de Trens Metropolitanos (CPTM)"", ""Empresa Metropolitana de Transportes Urbanos de São Paulo S/A (EMTU-SP)"", ""Companhia do Metropolitano de São Paulo (Metrô)"", ""Fundação do Desenvolvimento Administrativo (Fundap)""]","[""Programa das Nações Unidas para Assentamentos Humanos (ONU-Habitat)"", ""BNDES"", ""Caixa Econômica Federal"", ""Banco do Brasil"", ""Secretaria da Habitação"", ""Casa Paulista"", ""Companhia de Desenvolvimento Habitacional e Urbano do Estado de São Paulo (CDHU)"", ""Unidade de Gestão do Projeto Serra do Mar"", ""Secretaria de Logística e Transportes"", ""Agência Reguladora de Serviços Públicos Delegados de Transporte do Estado de São Paulo (Artesp)"", ""Dersa – Desenvolvimento Rodoviário S/A"", ""Secretaria do Meio Ambiente"", ""Cetesb – Companhia Ambiental do Estado de São Paulo"", ""Coordenadoria de Planejamento Ambiental"", ""Secretaria de Planejamento e Desenvolvimento Regional"", ""Fundação Prefeito Faria Lima – Centro de Estudos e Pesquisas de Administração Municipal (Cepam)"", ""Fundação Sistema Estadual de Análise de Dados (Seade)"", ""Secretaria de Saneamento e Recursos Hídricos"", ""Departamento de Águas e Energia Elétrica (Daee)"", ""Companhia de Saneamento Básico do Estado de São Paulo (Sabesp)"", ""Secretaria da Segurança Pública"", ""Secretaria dos Transportes Metropolitanos"", ""Companhia Paulista de Trens Metropolitanos (CPTM)"", ""Empresa Metropolitana de Transportes Urbanos de São Paulo S/A (EMTU-SP)"", ""Companhia do Metropolitano de São Paulo (Metrô)"", ""Fundação do Desenvolvimento Administrativo (Fundap)""]",118.pdf,doc_0aa337fd3de039dc
Empresa Paulista de Planejamento Metropolitano S/A (Emplasa),Empresa Paulista de Planejamento Metropolitano S/A (Emplasa),"[""Governo do Estado de São Paulo"", ""Secretaria Estadual da Casa Civil"", ""Conselho de Administração da Emplasa"", ""Secretaria da Segurança Pública"", ""Secretaria dos Transportes Metropolitanos"", ""Companhia Paulista de Trens Metropolitanos (CPTM)"", ""Empresa Metropolitana de Transportes Urbanos de São Paulo S/A (EMTU-SP)"", ""Companhia do Metropolitano de São Paulo (Metrô)"", ""Fundação do Desenvolvimento Administrativo (Fundap)"", ""Laboratório de Urbanismo da Metrópole"", ""Programa das Nações Unidas para Assentamentos Humanos (ONU-Habitat)"", ""BNDES"", ""Caixa Econômica Federal"", ""Banco do Brasil""]","[""Governo do Estado de São Paulo"", ""Secretaria Estadual da Casa Civil"", ""Conselho de Administração da Emplasa"", ""Secretaria da Segurança Pública"", ""Secretaria dos Transportes Metropolitanos"", ""Companhia Paulista de Trens Metropolitanos (CPTM)"", ""Empresa Metropolitana de Transportes Urbanos de São Paulo S/A (EMTU-SP)"", ""Companhia do Metropolitano de São Paulo (Metrô)"", ""Fundação do Desenvolvimento Administrativo (Fundap)"", ""Laboratório de Urbanismo da Metrópole"", ""Programa das Nações Unidas para Assentamentos Humanos (ONU-Habitat)"", ""BNDES"", ""Caixa Econômica Federal"", ""Banco do Brasil""]",119.pdf,doc_230de4d5108dfecb
Instituto de Planejamento de Fortaleza (Iplanfor),Instituto de Planejamento de Fortaleza (Iplanfor),"[""Ministério Público Estadual"", ""Governo do Estado do Ceará"", ""Fundação Cearense de Pesquisa e Cultura – FCPC"", ""Universidade Federal do Ceará – UFC"", ""Universidade Estadual do Ceará – Uece"", ""Universidade de Fortaleza – Unifor"", ""Câmara de Dirigentes Lojistas – CDL Fortaleza"", ""Federação da Câmara de Dirigentes Lojistas – FCDL"", ""Federação das Indústrias do Estado do Ceará – Fiec"", ""Conselho Regional de Arquitetura – Cau"", ""Conselho Regional de Engenharia e Agronomia – Crea"", ""Instituto de Arquitetos do Brasil – IAB"", ""Sindicato dos Engenheiros do Estado do Ceará – Senge"", ""Secretaria Regional do Centro - Serce"", ""Secretaria Regional I - Ser I"", ""Secretaria Regional II - Ser II"", ""Secretaria Regional III - Ser III"", ""Secretaria Regional IV - Ser IV"", ""Secretaria Regional V - Ser V"", ""Secretaria Regional VI - Ser VI"", ""Secretaria Municipal do Planejamento, Orçamento e Gestão - Sepog"", ""Secretaria Municipal das Finanças - Sefin"", ""Secretaria Municipal de Governo - Segov"", ""Procuradoria Geral do Município - PGM"", ""Controladoria e Ouvidoria Geral do Municipio - CGM"", ""Secretaria Municipal da Segurança Cidadã - Sesec"", ""Secretaria Municipal da Educação - SME"", ""Secretaria Municipal da Saúde - SMS"", ""Secretaria Municipal da Infraestrutura - Seinf"", ""Secretaria Municipal da Conservação e Serviços Públicos - SCSP"", ""Secretaria Municipal do Esporte e Lazer - Secel"", ""Secretaria Municipal do Desenvolvimento Econômico - SDE"", ""Secretaria Municipal do Urbanismo e Meio Ambiente - Seuma"", ""Secretaria Municipal do Turismo de Fortaleza - Setfor"", ""Secretaria Municipal do Trabalho, Desenvolvimento Social e Combate à Fome - Setra"", ""Secretaria Municipal da Cidadania e Direitos Humanos - SCDH"", ""Secretaria Municipal da Cultura de Fortaleza - Secultfor"", ""Secretaria Municipal do Desenvolvimento Habitacional de Fortaleza - Habitafor"", ""Coordenadoria Especial de Articulação Política - Coarp"", ""Coordenadoria Especial de Participação Social"", ""Coordenadoria Especial de Políticas Sobre Drogas"", ""Coordenadoria Especial de Políticas Públicas de Juventude"", ""Coordenadoria Especial de Articulação das Secretarias Regionais"", ""Coordenadoria Especial de Relações Internacionais e Federativas"", ""Fundação de Ciência, Tecnologia e Inovação de Fortaleza - Citinova"", ""Fundação da Criança e da Família Cidadã - Funci"", ""Instituto Municipal de Desenvolvimento de Recursos Humanos - Imparh"", ""Autarquia de Regularização, Fiscalização e Controle de Serviços Públicos de Saneamento Ambiental - Acfor"", ""Agência de Fiscalização de Fortaleza - Agefis"", ""Instituto de Previdência do Município - IPM"", ""Instituto Dr. José Frota - IJF"", ""Autarquia Municipal de Trânsito e Cidadania - AMC"", ""Instituto de Pesos e Medidas - Ipem"", ""Autarquia de Urbanismo e Paisagismo de Fortaleza - Urbfor"", ""Empresa de Transporte Urbano de Fortaleza - Etufor"", ""Companhia de Transporte Coletivo - CTC""]","[""Ministério Público Estadual"", ""Governo do Estado do Ceará"", ""Fundação Cearense de Pesquisa e Cultura – FCPC"", ""Universidade Federal do Ceará – UFC"", ""Universidade Estadual do Ceará – Uece"", ""Universidade de Fortaleza – Unifor"", ""Câmara de Dirigentes Lojistas – CDL Fortaleza"", ""Federação da Câmara de Dirigentes Lojistas – FCDL"", ""Federação das Indústrias do Estado do Ceará – Fiec"", ""Conselho Regional de Arquitetura – Cau"", ""Conselho Regional de Engenharia e Agronomia – Crea"", ""Instituto de Arquitetos do Brasil – IAB"", ""Sindicato dos Engenheiros do Estado do Ceará – Senge"", ""Secretaria Regional do Centro - Serce"", ""Secretaria Regional I - Ser I"", ""Secretaria Regional II - Ser II"", ""Secretaria Regional III - Ser III"", ""Secretaria Regional IV - Ser IV"", ""Secretaria Regional V - Ser V"", ""Secretaria Regional VI - Ser VI"", ""Secretaria Municipal do Planejamento, Orçamento e Gestão - Sepog"", ""Secretaria Municipal das Finanças - Sefin"", ""Secretaria Municipal de Governo - Segov"", ""Procuradoria Geral do Município - PGM"", ""Controladoria e Ouvidoria Geral do Municipio - CGM"", ""Secretaria Municipal da Segurança Cidadã - Sesec"", ""Secretaria Municipal da Educação - SME"", ""Secretaria Municipal da Saúde - SMS"", ""Secretaria Municipal da Infraestrutura - Seinf"", ""Secretaria Municipal da Conservação e Serviços Públicos - SCSP"", ""Secretaria Municipal do Esporte e Lazer - Secel"", ""Secretaria Municipal do Desenvolvimento Econômico - SDE"", ""Secretaria Municipal do Urbanismo e Meio Ambiente - Seuma"", ""Secretaria Municipal do Turismo de Fortaleza - Setfor"", ""Secretaria Municipal do Trabalho, Desenvolvimento Social e Combate à Fome - Setra"", ""Secretaria Municipal da Cidadania e Direitos Humanos - SCDH"", ""Secretaria Municipal da Cultura de Fortaleza - Secultfor"", ""Secretaria Municipal do Desenvolvimento Habitacional de Fortaleza - Habitafor"", ""Coordenadoria Especial de Articulação Política - Coarp"", ""Coordenadoria Especial de Participação Social"", ""Coordenadoria Especial de Políticas Sobre Drogas"", ""Coordenadoria Especial de Políticas Públicas de Juventude"", ""Coordenadoria Especial de Articulação das Secretarias Regionais"", ""Coordenadoria Especial de Relações Internacionais e Federativas"", ""Fundação de Ciência, Tecnologia e Inovação de Fortaleza - Citinova"", ""Fundação da Criança e da Família Cidadã - Funci"", ""Instituto Municipal de Desenvolvimento de Recursos Humanos - Imparh"", ""Autarquia de Regularização, Fiscalização e Controle de Serviços Públicos de Saneamento Ambiental - Acfor"", ""Agência de Fiscalização de Fortaleza - Agefis"", ""Instituto de Previdência do Município - IPM"", ""Instituto Dr. José Frota - IJF"", ""Autarquia Municipal de Trânsito e Cidadania - AMC"", ""Instituto de Pesos e Medidas - Ipem"", ""Autarquia de Urbanismo e Paisagismo de Fortaleza - Urbfor"", ""Empresa de Transporte Urbano de Fortaleza - Etufor"", ""Companhia de Transporte Coletivo - CTC""]",120.pdf,doc_1d4e875970f6486b
Prefeitura de Belo Horizonte,Prefeitura de Belo Horizonte,"[""Macroplan, Prospectiva, Estratégia & Gestão""]","[""Macroplan, Prospectiva, Estratégia & Gestão""]",121.pdf,doc_1459edf6cae895a7
Secretaria de Estado de Planejamento e Desenvolvimento Econômico (SEPLAN),Secretaria de Estado de Planejamento e Desenvolvimento Econômico (SEPLAN),"[""Companhia de Desenvolvimento do Estado do Amazonas (CIAMA)"", ""Fundação de Amparo à Pesquisa do Estado do Amazonas (FAPEAM)""]","[""Companhia de Desenvolvimento do Estado do Amazonas (CIAMA)"", ""Fundação de Amparo à Pesquisa do Estado do Amazonas (FAPEAM)""]",122.pdf,doc_656f22c42109b411
GOI GOIAS – Secretaria de Gestão e Planejamento do Estado de Goiás,GOI GOIAS – Secretaria de Gestão e Planejamento do Estado de Goiás,"[""Programa Nacional de Apoio à Modernização da Gestão e do Planejamento dos Estados Brasileiros e do Distrito Federal (PNAGE)"", ""Conselho Nacional de Secretários de Administração (CONSAD)"", ""Fórum Nacional de Secretários de Planejamento"", ""Banco Interamericano de Desenvolvimento (BID)"", ""Caixa Econômica Federal"", ""Ministério do Planejamento, Orçamento e Gestão (MPOG)"", ""SAGRES – Política e Gestão Estratégica Aplicadas"", ""Menthor Consult"", ""Marvel Consulting"", ""SLA Consultoria em Estratégia""]","[""Programa Nacional de Apoio à Modernização da Gestão e do Planejamento dos Estados Brasileiros e do Distrito Federal (PNAGE)"", ""Conselho Nacional de Secretários de Administração (CONSAD)"", ""Fórum Nacional de Secretários de Planejamento"", ""Banco Interamericano de Desenvolvimento (BID)"", ""Caixa Econômica Federal"", ""Ministério do Planejamento, Orçamento e Gestão (MPOG)"", ""SAGRES – Política e Gestão Estratégica Aplicadas"", ""Menthor Consult"", ""Marvel Consulting"", ""SLA Consultoria em Estratégia""]",123.pdf,doc_798976ba95a07847
SEPLAN,SEPLAN,"[""Governo do Estado do Rio Grande do Norte"", ""BIRD 8276-BR/Projeto RN Sustentável"", ""Instituto Publix""]","[""Governo do Estado do Rio Grande do Norte"", ""BIRD 8276-BR/Projeto RN Sustentável"", ""Instituto Publix""]",124.pdf,doc_145b79abcfa91a17
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome","Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome","[""Câmara Interministerial de Segurança Alimentar e Nutricional (CAISAN)"", ""Conselho Nacional de Segurança Alimentar e Nutricional (CONSEA)"", ""Secretaria-Geral da Presidência da República"", ""Casa Civil da Presidência da República"", ""Ministério da Fazenda"", ""Ministério do Planejamento e Orçamento"", ""Ministério do Desenvolvimento Agrário e Agricultura Familiar"", ""Ministério da Saúde"", ""Ministério da Educação"", ""Ministério da Agricultura e Pecuária"", ""Ministério do Trabalho e Emprego"", ""Ministério da Pesca e Aquicultura"", ""Ministério do Meio Ambiente e Mudança do Clima"", ""Ministério dos Direitos Humanos e da Cidadania"", ""Ministério das Mulheres"", ""Ministério da Igualdade Racial"", ""Ministério dos Povos Indígenas"", ""Ministério das Relações Exteriores"", ""Ministério das Cidades"", ""Ministério da Integração e Desenvolvimento Regional"", ""Ministério da Ciência, Tecnologia e Inovação"", ""Ministério da Previdência Social"", ""Ministério da Cultura"", ""Ministério da Justiça e Segurança Pública"", ""Ministério da Gestão e da Inovação em Serviços Públicos"", ""CONAB"", ""INCRA"", ""Embrapa"", ""Fundo Nacional de Desenvolvimento da Educação (FNDE)""]","[""Câmara Interministerial de Segurança Alimentar e Nutricional (CAISAN)"", ""Conselho Nacional de Segurança Alimentar e Nutricional (CONSEA)"", ""Secretaria-Geral da Presidência da República"", ""Casa Civil da Presidência da República"", ""Ministério da Fazenda"", ""Ministério do Planejamento e Orçamento"", ""Ministério do Desenvolvimento Agrário e Agricultura Familiar"", ""Ministério da Saúde"", ""Ministério da Educação"", ""Ministério da Agricultura e Pecuária"", ""Ministério do Trabalho e Emprego"", ""Ministério da Pesca e Aquicultura"", ""Ministério do Meio Ambiente e Mudança do Clima"", ""Ministério dos Direitos Humanos e da Cidadania"", ""Ministério das Mulheres"", ""Ministério da Igualdade Racial"", ""Ministério dos Povos Indígenas"", ""Ministério das Relações Exteriores"", ""Ministério das Cidades"", ""Ministério da Integração e Desenvolvimento Regional"", ""Ministério da Ciência, Tecnologia e Inovação"", ""Ministério da Previdência Social"", ""Ministério da Cultura"", ""Ministério da Justiça e Segurança Pública"", ""Ministério da Gestão e da Inovação em Serviços Públicos"", ""CONAB"", ""INCRA"", ""Embrapa"", ""Fundo Nacional de Desenvolvimento da Educação (FNDE)""]",125.pdf,doc_393920afed57966a
"Ministério do Meio Ambiente e Mudança do Clima, Ministério da Ciência, Tecnologia e Inovação, Casa Civil da Presidência da República","Ministério do Meio Ambiente e Mudança do Clima, Ministério da Ciência, Tecnologia e Inovação, Casa Civil da Presidência da República","[""Banco Interamericano de Desenvolvimento (BID)"", ""Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH"", ""Global Environment Facility (GEF)"", ""Programa das Nações Unidas para o Desenvolvimento (PNUD)"", ""Programa das Nações Unidas para o Meio Ambiente (PNUMA)"", ""Climate and Clean Air Coalition (CCAC)"", ""Global Methane Hub (GMH)"", ""Initiative for Climate Action Transparency (ICAT)"", ""Iniciativa Internacional para o Clima (IKI)"", ""Ministério Federal do Meio Ambiente, Ação Climática, Conservação da Natureza e Segurança Nuclear (BMUKN)""]","[""Banco Interamericano de Desenvolvimento (BID)"", ""Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH"", ""Global Environment Facility (GEF)"", ""Programa das Nações Unidas para o Desenvolvimento (PNUD)"", ""Programa das Nações Unidas para o Meio Ambiente (PNUMA)"", ""Climate and Clean Air Coalition (CCAC)"", ""Global Methane Hub (GMH)"", ""Initiative for Climate Action Transparency (ICAT)"", ""Iniciativa Internacional para o Clima (IKI)"", ""Ministério Federal do Meio Ambiente, Ação Climática, Conservação da Natureza e Segurança Nuclear (BMUKN)""]",126.pdf,doc_a83622f2e4c771d5
